date,close_price,signal,prev_signal,action
2024-11-01 07:35:00,2751.55,0,0,skip
2024-11-01 07:40:00,2752.18,0,0,skip
2024-11-01 07:45:00,2752.58,0,0,skip
2024-11-01 07:50:00,2752.13,0,0,skip
2024-11-01 07:55:00,2752.22,0,0,skip
2024-11-01 08:00:00,2752.25,0,0,skip
2024-11-01 08:05:00,2752.59,0,0,skip
2024-11-01 08:10:00,2752.51,1,1,ORDER_TYPE_BUY
2024-11-01 08:15:00,2752.61,0,0,skip
2024-11-01 08:20:00,2752.24,0,0,skip
2024-11-01 08:25:00,2752.08,0,0,skip
2024-11-01 08:30:00,2752.53,1,1,ORDER_TYPE_BUY
2024-11-01 08:35:00,2753.57,1,1,ORDER_TYPE_BUY
2024-11-01 08:40:00,2753.06,1,1,ORDER_TYPE_BUY
2024-11-01 08:45:00,2753.45,1,1,ORDER_TYPE_BUY
2024-11-01 08:50:00,2754.59,1,1,ORDER_TYPE_BUY
2024-11-01 08:55:00,2754.93,1,1,ORDER_TYPE_BUY
2024-11-01 09:00:00,2755.69,1,1,ORDER_TYPE_BUY
2024-11-01 09:05:00,2756.8,1,1,ORDER_TYPE_BUY
2024-11-01 09:10:00,2756.65,1,1,ORDER_TYPE_BUY
2024-11-01 09:15:00,2754.56,0,0,skip
2024-11-01 09:20:00,2754.17,0,0,skip
2024-11-01 09:25:00,2752.86,0,0,skip
2024-11-01 09:30:00,2752.95,0,0,skip
2024-11-01 09:35:00,2752.43,0,0,skip
2024-11-01 09:40:00,2751.75,0,0,skip
2024-11-01 09:45:00,2753.26,1,1,ORDER_TYPE_BUY
2024-11-01 09:50:00,2752.41,0,0,skip
2024-11-01 09:55:00,2751.99,0,0,skip
2024-11-01 10:00:00,2752.69,1,1,ORDER_TYPE_BUY
2024-11-01 10:05:00,2751.06,0,0,skip
2024-11-01 10:10:00,2750.35,0,0,skip
2024-11-01 10:15:00,2750.57,0,0,skip
2024-11-01 10:20:00,2751.9,1,1,ORDER_TYPE_BUY
2024-11-01 10:25:00,2750.07,0,0,skip
2024-11-01 10:30:00,2749.62,0,0,skip
2024-11-01 10:35:00,2748.04,0,0,skip
2024-11-01 10:40:00,2747.25,0,0,skip
2024-11-01 10:45:00,2749.14,1,1,ORDER_TYPE_BUY
2024-11-01 10:50:00,2748.31,0,0,skip
2024-11-01 10:55:00,2749.63,1,1,ORDER_TYPE_BUY
2024-11-01 11:00:00,2751.21,1,1,ORDER_TYPE_BUY
2024-11-01 11:05:00,2751.35,1,1,ORDER_TYPE_BUY
2024-11-01 11:10:00,2752.43,1,1,ORDER_TYPE_BUY
2024-11-01 11:15:00,2752.67,1,1,ORDER_TYPE_BUY
2024-11-01 11:20:00,2753.82,1,1,ORDER_TYPE_BUY
2024-11-01 11:25:00,2754.11,1,1,ORDER_TYPE_BUY
2024-11-01 11:30:00,2753.48,1,1,ORDER_TYPE_BUY
2024-11-01 11:35:00,2754.45,1,1,ORDER_TYPE_BUY
2024-11-01 11:40:00,2754.66,1,1,ORDER_TYPE_BUY
